"lat_bin","time","total_area","n_stations","mid_lat","mid_lon"
"lat_37_80",1984-02-15,NA,253,37.9430664458736,-122.849235510919
"lat_37_80",1984-05-15,7967,253,37.9430664458736,-122.849235510919
"lat_37_80",1984-08-15,6488,253,37.9430664458736,-122.849235510919
"lat_37_80",1984-11-15,127,253,37.9430664458736,-122.849235510919
"lat_37_80",1985-02-15,NA,253,37.9430664458736,-122.849235510919
"lat_37_80",1985-05-15,0,253,37.9430664458736,-122.849235510919
"lat_37_80",1985-08-15,0,253,37.9430664458736,-122.849235510919
"lat_37_80",1985-11-15,0,253,37.9430664458736,-122.849235510919
"lat_37_80",1986-02-15,320,253,37.9430664458736,-122.849235510919
"lat_37_80",1986-05-15,312,253,37.9430664458736,-122.849235510919
"lat_37_80",1986-08-15,10952,253,37.9430664458736,-122.849235510919
"lat_37_80",1986-11-15,144,253,37.9430664458736,-122.849235510919
"lat_37_80",1987-02-15,0,253,37.9430664458736,-122.849235510919
"lat_37_80",1987-05-15,0,253,37.9430664458736,-122.849235510919
"lat_37_80",1987-08-15,7602,253,37.9430664458736,-122.849235510919
"lat_37_80",1987-11-15,0,253,37.9430664458736,-122.849235510919
"lat_37_80",1988-02-15,432,253,37.9430664458736,-122.849235510919
"lat_37_80",1988-05-15,1794,253,37.9430664458736,-122.849235510919
"lat_37_80",1988-08-15,19247,253,37.9430664458736,-122.849235510919
"lat_37_80",1988-11-15,0,253,37.9430664458736,-122.849235510919
"lat_37_80",1989-02-15,24836,253,37.9430664458736,-122.849235510919
"lat_37_80",1989-05-15,2227,253,37.9430664458736,-122.849235510919
"lat_37_80",1989-08-15,2207,253,37.9430664458736,-122.849235510919
"lat_37_80",1989-11-15,122,253,37.9430664458736,-122.849235510919
"lat_37_80",1990-02-15,0,253,37.9430664458736,-122.849235510919
"lat_37_80",1990-05-15,6415,253,37.9430664458736,-122.849235510919
"lat_37_80",1990-08-15,675,253,37.9430664458736,-122.849235510919
"lat_37_80",1990-11-15,1305,253,37.9430664458736,-122.849235510919
"lat_37_80",1991-02-15,NA,253,37.9430664458736,-122.849235510919
"lat_37_80",1991-05-15,648,253,37.9430664458736,-122.849235510919
