lat_bin,time,total_area,n_stations,mid_lat,mid_lon
lat_36_22496,1984-02-15,,28133,36.8754230603193,-122.151699302713
lat_36_22496,1984-05-15,1023133,28133,36.8754230603193,-122.151699302713
lat_36_22496,1984-08-15,4133175,28133,36.8754230603193,-122.151699302713
lat_36_22496,1984-11-15,2687437,28133,36.8754230603193,-122.151699302713
lat_36_22496,1985-02-15,237572,28133,36.8754230603193,-122.151699302713
lat_36_22496,1985-05-15,4587956,28133,36.8754230603193,-122.151699302713
lat_36_22496,1985-08-15,8176298,28133,36.8754230603193,-122.151699302713
lat_36_22496,1985-11-15,4095499,28133,36.8754230603193,-122.151699302713
lat_36_22496,1986-02-15,90424,28133,36.8754230603193,-122.151699302713
lat_36_22496,1986-05-15,1549514,28133,36.8754230603193,-122.151699302713
lat_36_22496,1986-08-15,6633715,28133,36.8754230603193,-122.151699302713
lat_36_22496,1986-11-15,3085909,28133,36.8754230603193,-122.151699302713
lat_36_22496,1987-02-15,323018,28133,36.8754230603193,-122.151699302713
lat_36_22496,1987-05-15,1056001,28133,36.8754230603193,-122.151699302713
lat_36_22496,1987-08-15,7180581,28133,36.8754230603193,-122.151699302713
lat_36_22496,1987-11-15,3640639,28133,36.8754230603193,-122.151699302713
lat_36_22496,1988-02-15,486342,28133,36.8754230603193,-122.151699302713
lat_36_22496,1988-05-15,2905699,28133,36.8754230603193,-122.151699302713
lat_36_22496,1988-08-15,6357383,28133,36.8754230603193,-122.151699302713
lat_36_22496,1988-11-15,1965665,28133,36.8754230603193,-122.151699302713
lat_36_22496,1989-02-15,1060051,28133,36.8754230603193,-122.151699302713
lat_36_22496,1989-05-15,5027926,28133,36.8754230603193,-122.151699302713
lat_36_22496,1989-08-15,6508586,28133,36.8754230603193,-122.151699302713
lat_36_22496,1989-11-15,1171063,28133,36.8754230603193,-122.151699302713
lat_36_22496,1990-02-15,5951,28133,36.8754230603193,-122.151699302713
lat_36_22496,1990-05-15,2615210,28133,36.8754230603193,-122.151699302713
lat_36_22496,1990-08-15,8251631,28133,36.8754230603193,-122.151699302713
lat_36_22496,1990-11-15,4867761,28133,36.8754230603193,-122.151699302713
lat_36_22496,1991-02-15,1530,28133,36.8754230603193,-122.151699302713
lat_36_22496,1991-05-15,2168766,28133,36.8754230603193,-122.151699302713
lat_36_22496,1991-08-15,7685823,28133,36.8754230603193,-122.151699302713
