"","year","site","prop_cover","kelp_area_m2"
"1",1984,1,0.397840925250036,48596.5
"2",1984,2,0.361458333333333,65323.5
"3",1984,3,0.327102803738318,35781
"4",1984,4,0.339578382048829,27020.5
"5",1984,5,0.161536991432167,63143.5
"6",1984,6,0.083217274524677,21322.5
"7",1984,7,0.0551920768307323,23958.5
"8",1984,8,0.0219573400250941,6955
"9",1984,9,0.00892857142857143,306
"10",1984,10,0.0330177124552478,12872.5
"11",1984,11,0.0846921811180402,31181
"12",1984,12,0.144604809554777,47873.5
"13",1984,13,0.113469921534438,9940.5
"14",1984,14,0.136792452830189,6844.5
"15",1984,15,0.113259668508287,8410.5
"16",1984,16,0.0434782608695652,2529
"17",1985,1,0.654762751232461,127275.5
"18",1985,2,0.592411878340567,152317.5
"19",1985,3,0.56582554517134,92725
"20",1985,4,0.648823899163,69614.5
"21",1985,5,0.467790522847606,278102.5
"22",1985,6,0.279924407664711,87826.5
"23",1985,7,0.469157544384255,240758.5
"24",1985,8,0.307919869471283,133308.5
"25",1985,9,0.187940646007542,13213
"26",1985,10,0.355029354207436,168600
"27",1985,11,0.530930385356039,359603.5
"28",1985,12,0.535729341269284,225298.5
"29",1985,13,0.565823888404534,61732.5
"30",1985,14,0.52691352182657,32093.5
"31",1985,15,0.659022967553773,87384
"32",1985,16,0.395289290371831,49512
"33",1986,1,0.229591836734694,15075.5
"34",1986,2,0.194616977225673,22322
"35",1986,3,0.11993769470405,7925
"36",1986,4,0.193370165745856,7002
"37",1986,5,0.252285739675769,74825.5
"38",1986,6,0.107887010225777,21221
"39",1986,7,0.329210836277974,106109
"40",1986,8,0.278583258054803,97607
"41",1986,9,0.17206179164726,7015
"42",1986,10,0.237952621149342,74067.5
"43",1986,11,0.460036770850744,220795.5
"44",1986,12,0.361594723245899,89285
"45",1986,13,0.411290322580645,27914
"46",1986,14,0.333333333333333,12401
"47",1986,15,0.381516587677725,35439
"48",1986,16,0.255663393727749,14804.5
"49",1987,1,0.498543887238628,71684.5
"50",1987,2,0.352589709887202,74683.5
"51",1987,3,0.293512122443451,37874.5
"52",1987,4,0.374739103744629,33385.5
"53",1987,5,0.246657228119674,97579
"54",1987,6,0.159410964172658,25881.5
"55",1987,7,0.343094817432273,117121.5
"56",1987,8,0.338759305210918,114928
"57",1987,9,0.129142300194932,6583.5
"58",1987,10,0.296796722827281,104224
"59",1987,11,0.470369071423041,229339
"60",1987,12,0.257487480739599,73922
"61",1987,13,0.254922496857981,18197
"62",1987,14,0.145237420938356,4749.5
"63",1987,15,0.407043807517741,37038.5
"64",1987,16,0.231726681975864,17837.5
"65",1988,1,0.345238095238095,63552
"66",1988,2,0.332298136645963,90826.5
"67",1988,3,0.308411214953271,56529
"68",1988,4,0.381689029202841,43587.5
"69",1988,5,0.212913984075624,123633.5
"70",1988,6,0.154822335025381,52328.5
"71",1988,7,0.159738717339667,66200
"72",1988,8,0.12638036809816,40018.5
"73",1988,9,0.0833333333333333,1916.5
"74",1988,10,0.151577503429355,38712
"75",1988,11,0.247300215982721,115509.5
"76",1988,12,0.314907704654896,132831.5
"77",1988,13,0.39247311827957,43356.5
"78",1988,14,0.333333333333333,21377
"79",1988,15,0.360189573459716,46275.5
"80",1988,16,0.270142180094787,29013.5
"81",1989,1,0.536207657124283,71249
"82",1989,2,0.520703933747412,97206.5
"83",1989,3,0.456386292834891,49476.5
"84",1989,4,0.569060773480663,40207.5
"85",1989,5,0.398942537909018,156112
"86",1989,6,0.391452802359882,99492
"87",1989,7,0.533284718170959,214709
"88",1989,8,0.600541329602822,217242
"89",1989,9,0.285087719298246,19150
"90",1989,10,0.474726775956284,164991
"91",1989,11,0.583711827122153,281259.5
"92",1989,12,0.632188370100664,215038.5
"93",1989,13,0.800377797151991,84090.5
"94",1989,14,0.755066387141859,40080.5
"95",1989,15,0.819228165199729,103560.5
"96",1989,16,0.706532146105606,77336.5
"97",1990,1,0.594370161857847,91367
"98",1990,2,0.496054654948756,113502.5
"99",1990,3,0.370716510903427,51247.5
"100",1990,4,0.411602209944751,33114
"101",1990,5,0.38714443364683,194729.5
"102",1990,6,0.401910957233046,102346.5
"103",1990,7,0.591549295774648,282391
"104",1990,8,0.713414634146341,366999.5
"105",1990,9,0.517543859649123,32035
"106",1990,10,0.692675784198291,290203
